PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37367252","Blood Group A Enhances SARS-CoV-2 Infection","Wu SC, Arthur CM, Jan HM, Garcia-Beltran WF, Patel KR, Rathgeber M, Verkerke H, Cheedarla N, Jajosky RP, Paul A, Neish AS, Roback JD, Josephson C, Wesemann D, Kalman D, Rakoff-Nahoum S, Cummings RD, Stowell SR.","Blood. 2023 Jun 27:blood.2022018903. doi: 10.1182/blood.2022018903. Online ahead of print.","Wu SC","Blood","2023","2023/06/27","PMC10294591","","10.1182/blood.2022018903"
"37365449","Effectiveness of inactivated COVID-19 vaccine against the severity of Omicron variant","Wang H, Liu L, Wu T.","Front Med. 2023 Jun 27. doi: 10.1007/s11684-023-0991-0. Online ahead of print.","Wang H","Front Med","2023","2023/06/26","","","10.1007/s11684-023-0991-0"
"37365505","Rapid review and meta-analysis of serial intervals for SARS-CoV-2 Delta and Omicron variants","Madewell ZJ, Yang Y, Longini IM Jr, Halloran ME, Vespignani A, Dean NE.","BMC Infect Dis. 2023 Jun 26;23(1):429. doi: 10.1186/s12879-023-08407-5.","Madewell ZJ","BMC Infect Dis","2023","2023/06/26","PMC10291789","","10.1186/s12879-023-08407-5"
"37301869","Dicoumarol is an effective post-exposure prophylactic for SARS-CoV-2 Omicron infection in human airway epithelium","Peng Y, Chen SY, Wang ZN, Zhou ZQ, Sun J, Zhang GA, Li J, Wang L, Zhao JC, Tang XX, Wang DY, Zhong NS.","Signal Transduct Target Ther. 2023 Jun 10;8(1):242. doi: 10.1038/s41392-023-01511-7.","Peng Y","Signal Transduct Target Ther","2023","2023/06/10","PMC10256976","","10.1038/s41392-023-01511-7"
"37285373","Understanding how different surfaces and environmental biofilms found in food processing plants affect the spread of COVID-19","Featherstone A, Brown AC, Chitlapilly Dass S.","PLoS One. 2023 Jun 7;18(6):e0286659. doi: 10.1371/journal.pone.0286659. eCollection 2023.","Featherstone A","PLoS One","2023","2023/06/07","PMC10246802","","10.1371/journal.pone.0286659"
"37255735","Omicron (B.1.1.529) variant and its subvariants and lineages may lead to another COVID-19 wave in the world? -An overview of current evidence and counteracting strategies","Sah R, Rais MA, Mohanty A, Chopra H, Chandran D, Bin Emran T, Dhama K.","Int J Surg Open. 2023 Jun;55:100625. doi: 10.1016/j.ijso.2023.100625. Epub 2023 May 18.","Sah R","Int J Surg Open","2023","2023/05/31","PMC10192062","","10.1016/j.ijso.2023.100625"
"37250860","The relationship between controllability, optimal testing resource allocation, and incubation-latent period mismatch as revealed by COVID-19","Demers J, Fagan WF, Potluri S, Calabrese JM.","Infect Dis Model. 2023 Jun;8(2):514-538. doi: 10.1016/j.idm.2023.04.007. Epub 2023 May 16.","Demers J","Infect Dis Model","2023","2023/05/30","PMC10186984","","10.1016/j.idm.2023.04.007"
"37234095","High-rise buildings: A risk factor in the COVID-19 Omicron epidemic period","Lyu H, Zhong X, Huang Q, Zheng L, Chen H, Cai S.","Public Health Pract (Oxf). 2023 Jun;5:100389. doi: 10.1016/j.puhip.2023.100389. Epub 2023 May 20.","Lyu H","Public Health Pract (Oxf)","2023","2023/05/26","PMC10199749","","10.1016/j.puhip.2023.100389"
"37084751","SARS-CoV-2 incubation period across variants of concern, individual factors, and circumstances of infection in France: a case series analysis from the ComCor study","Galmiche S, Cortier T, Charmet T, Schaeffer L, Chény O, von Platen C, Lévy A, Martin S, Omar F, David C, Mailles A, Carrat F, Cauchemez S, Fontanet A.","Lancet Microbe. 2023 Jun;4(6):e409-e417. doi: 10.1016/S2666-5247(23)00005-8. Epub 2023 Apr 18.","Galmiche S","Lancet Microbe","2023","2023/04/21","PMC10112864","","10.1016/S2666-5247(23)00005-8"
"36958206","CESSAT: A chemical additive-enhanced single-step accurate CRISPR/Cas13 testing system for field-deployable ultrasensitive detection and genotyping of SARS-CoV-2 variants of concern","Wang Y, Chen H, Gao H, Wei H, Wang Y, Mu K, Liu L, Dai E, Rong Z, Wang S.","Biosens Bioelectron. 2023 Jun 1;229:115238. doi: 10.1016/j.bios.2023.115238. Epub 2023 Mar 20.","Wang Y","Biosens Bioelectron","2023","2023/03/23","PMC10027308","","10.1016/j.bios.2023.115238"
"35543865","Estimated Mask Use and Temporal Relationship to COVID-19 Epidemiology of Black Lives Matter Protests in 12 Cities","Quigley A, Nguyen PY, Stone H, Heslop DJ, Chughtai AA, MacIntyre CR.","J Racial Ethn Health Disparities. 2023 Jun;10(3):1212-1223. doi: 10.1007/s40615-022-01308-4. Epub 2022 May 11.","Quigley A","J Racial Ethn Health Disparities","2023","2022/05/11","PMC9092928","","10.1007/s40615-022-01308-4"
"37216529","Inferring the differences in incubation-period and generation-interval distributions of the Delta and Omicron variants of SARS-CoV-2","Park SW, Sun K, Abbott S, Sender R, Bar-On YM, Weitz JS, Funk S, Grenfell BT, Backer JA, Wallinga J, Viboud C, Dushoff J.","Proc Natl Acad Sci U S A. 2023 May 30;120(22):e2221887120. doi: 10.1073/pnas.2221887120. Epub 2023 May 22.","Park SW","Proc Natl Acad Sci U S A","2023","2023/05/22","PMC10235974","","10.1073/pnas.2221887120"
"37298324","Effects of Different Types of Recombinant SARS-CoV-2 Spike Protein on Circulating Monocytes' Structure","Vettori M, Dima F, Henry BM, Carpenè G, Gelati M, Celegon G, Salvagno GL, Lippi G.","Int J Mol Sci. 2023 May 27;24(11):9373. doi: 10.3390/ijms24119373.","Vettori M","Int J Mol Sci","2023","2023/06/10","PMC10253607","","10.3390/ijms24119373"
"37376555","Rapid Detection of SARS-CoV-2 RNA Using Reverse Transcription Recombinase Polymerase Amplification (RT-RPA) with Lateral Flow for N-Protein Gene and Variant-Specific Deletion-Insertion Mutation in S-Protein Gene","Malaga JL, Pajuelo MJ, Okamoto M, Tsinda EK, Otani K, Tsukayama P, Mascaro L, Cuicapuza D, Katsumi M, Kawamura K, Nishimura H, Sakagami A, Ueki Y, Omiya S, Okamoto S, Nakayama A, Fujimaki SI, Yu C, Azam S, Kodama E, Dapat C, Oshitani H, Saito M.","Viruses. 2023 May 26;15(6):1254. doi: 10.3390/v15061254.","Malaga JL","Viruses","2023","2023/06/28","PMC10302577","","10.3390/v15061254"
"37376552","Neutralizing and Enhancing Epitopes of the SARS-CoV-2 Receptor-Binding Domain (RBD) Identified by Nanobodies","Kaewchim K, Glab-Ampai K, Mahasongkram K, Saenlom T, Thepsawat W, Chulanetra M, Choowongkomon K, Sookrung N, Chaicumpa W.","Viruses. 2023 May 26;15(6):1252. doi: 10.3390/v15061252.","Kaewchim K","Viruses","2023","2023/06/28","PMC10301551","","10.3390/v15061252"
"37292842","Within-host SARS-CoV-2 viral kinetics informed by complex life course exposures reveals different intrinsic properties of Omicron and Delta variants","Russell TW, Townsley H, Abbott S, Hellewell J, Carr EJ, Chapman L, Pung R, Quilty BJ, Hodgson D, Fowler AS, Adams L, Bailey C, Mears HV, Harvey R, Clayton B, O'Reilly N, Ngai Y, Nicod J, Gamblin S, Williams B, Gandhi S, Swanton C, Beale R, Bauer DL, Wall EC, Kucharski A.","medRxiv. 2023 May 24:2023.05.17.23290105. doi: 10.1101/2023.05.17.23290105. Preprint.","Russell TW","medRxiv","2023","2023/06/09","PMC10246130","","10.1101/2023.05.17.23290105"
