PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37365505","Rapid review and meta-analysis of serial intervals for SARS-CoV-2 Delta and Omicron variants","Madewell ZJ, Yang Y, Longini IM Jr, Halloran ME, Vespignani A, Dean NE.","BMC Infect Dis. 2023 Jun 26;23(1):429. doi: 10.1186/s12879-023-08407-5.","Madewell ZJ","BMC Infect Dis","2023","2023/06/26","PMC10291789","","10.1186/s12879-023-08407-5"
"37331277","A tale of two waves: Delineating diverse genomic and transmission landscapes driving the COVID-19 pandemic in Pune, India","Niveditha D, Khan S, Khilari A, Nadkarni S, Bhalerao U, Kadam P, Yadav R, Kanekar JB, Shah N, Likhitkar B, Sawant R, Thakur S, Tupekar M, Nagar D, Rao AG, Jagtap R, Jogi S, Belekar M, Pathak M, Shah P, Ranade S, Phadke N, Das R, Joshi S, Karyakarte R, Ghose A, Kadoo N, Shashidhara LS, Monteiro JM, Shanmugam D, Raghunathan A, Karmodiya K.","J Infect Public Health. 2023 Jun 9;16(8):1290-1300. doi: 10.1016/j.jiph.2023.06.004. Online ahead of print.","Niveditha D","J Infect Public Health","2023","2023/06/18","PMC10250058","","10.1016/j.jiph.2023.06.004"
"37301869","Dicoumarol is an effective post-exposure prophylactic for SARS-CoV-2 Omicron infection in human airway epithelium","Peng Y, Chen SY, Wang ZN, Zhou ZQ, Sun J, Zhang GA, Li J, Wang L, Zhao JC, Tang XX, Wang DY, Zhong NS.","Signal Transduct Target Ther. 2023 Jun 10;8(1):242. doi: 10.1038/s41392-023-01511-7.","Peng Y","Signal Transduct Target Ther","2023","2023/06/10","PMC10256976","","10.1038/s41392-023-01511-7"
"37292842","Within-host SARS-CoV-2 viral kinetics informed by complex life course exposures reveals different intrinsic properties of Omicron and Delta variants","Russell TW, Townsley H, Abbott S, Hellewell J, Carr EJ, Chapman L, Pung R, Quilty BJ, Hodgson D, Fowler AS, Adams L, Bailey C, Mears HV, Harvey R, Clayton B, O'Reilly N, Ngai Y, Nicod J, Gamblin S, Williams B, Gandhi S, Swanton C, Beale R, Bauer DL, Wall EC, Kucharski A.","medRxiv. 2023 May 24:2023.05.17.23290105. doi: 10.1101/2023.05.17.23290105. Preprint.","Russell TW","medRxiv","2023","2023/06/09","PMC10246130","","10.1101/2023.05.17.23290105"
"37280047","Long-term real-world protection afforded by third mRNA doses against symptomatic SARS-COV-2 infections, COVID-19-related emergency attendances and hospitalizations amongst older Singaporeans during an Omicron XBB wave","Wee LE, Pang D, Chiew C, Tan J, Lee V, Ong B, Lye DC, Tan KB.","Clin Infect Dis. 2023 Jun 6:ciad345. doi: 10.1093/cid/ciad345. Online ahead of print.","Wee LE","Clin Infect Dis","2023","2023/06/06","","","10.1093/cid/ciad345"
"37255735","Omicron (B.1.1.529) variant and its subvariants and lineages may lead to another COVID-19 wave in the world? -An overview of current evidence and counteracting strategies","Sah R, Rais MA, Mohanty A, Chopra H, Chandran D, Bin Emran T, Dhama K.","Int J Surg Open. 2023 Jun;55:100625. doi: 10.1016/j.ijso.2023.100625. Epub 2023 May 18.","Sah R","Int J Surg Open","2023","2023/05/31","PMC10192062","","10.1016/j.ijso.2023.100625"
"37250860","The relationship between controllability, optimal testing resource allocation, and incubation-latent period mismatch as revealed by COVID-19","Demers J, Fagan WF, Potluri S, Calabrese JM.","Infect Dis Model. 2023 Jun;8(2):514-538. doi: 10.1016/j.idm.2023.04.007. Epub 2023 May 16.","Demers J","Infect Dis Model","2023","2023/05/30","PMC10186984","","10.1016/j.idm.2023.04.007"
"37234095","High-rise buildings: A risk factor in the COVID-19 Omicron epidemic period","Lyu H, Zhong X, Huang Q, Zheng L, Chen H, Cai S.","Public Health Pract (Oxf). 2023 Jun;5:100389. doi: 10.1016/j.puhip.2023.100389. Epub 2023 May 20.","Lyu H","Public Health Pract (Oxf)","2023","2023/05/26","PMC10199749","","10.1016/j.puhip.2023.100389"
"37216529","Inferring the differences in incubation-period and generation-interval distributions of the Delta and Omicron variants of SARS-CoV-2","Park SW, Sun K, Abbott S, Sender R, Bar-On YM, Weitz JS, Funk S, Grenfell BT, Backer JA, Wallinga J, Viboud C, Dushoff J.","Proc Natl Acad Sci U S A. 2023 May 30;120(22):e2221887120. doi: 10.1073/pnas.2221887120. Epub 2023 May 22.","Park SW","Proc Natl Acad Sci U S A","2023","2023/05/22","PMC10235974","","10.1073/pnas.2221887120"
"37191534","The Principles of SARS-CoV-2 Intervariant Competition Are Exemplified in the Pre-Omicron Era of the Colombian Epidemic","Orf GS, Pérez LJ, Ciuoderis K, Cardona A, Villegas S, Hernández-Ortiz JP, Baele G, Mohaimani A, Osorio JE, Berg MG, Cloherty GA.","Microbiol Spectr. 2023 Jun 15;11(3):e0534622. doi: 10.1128/spectrum.05346-22. Epub 2023 May 16.","Orf GS","Microbiol Spectr","2023","2023/05/16","PMC10269686","","10.1128/spectrum.05346-22"
"37185847","Predicting the negative conversion time of nonsevere COVID-19 patients using machine learning methods","Ye J, Shao X, Yang Y, Zhu F.","J Med Virol. 2023 Apr;95(4):e28747. doi: 10.1002/jmv.28747.","Ye J","J Med Virol","2023","2023/05/15","","","10.1002/jmv.28747"
"37185044","A lung-specific mutational signature enables inference of viral and bacterial respiratory niche","Ruis C, Peacock TP, Polo LM, Masone D, Alvarez MS, Hinrichs AS, Turakhia Y, Cheng Y, McBroome J, Corbett-Detig R, Parkhill J, Floto RA.","Microb Genom. 2023 May;9(5):mgen001018. doi: 10.1099/mgen.0.001018.","Ruis C","Microb Genom","2023","2023/05/15","PMC10272861","","10.1099/mgen.0.001018"
"37138833","A Nomogram for Predicting Delayed Viral Shedding in Non-Severe SARS-CoV-2 Omicron Infection","Yu T, Dong J, Qi Q, Lv Q, Li J, Huang C, Cai X.","Infect Drug Resist. 2023 Apr 27;16:2487-2500. doi: 10.2147/IDR.S407620. eCollection 2023.","Yu T","Infect Drug Resist","2023","2023/05/04","PMC10150765","","10.2147/IDR.S407620"
"37124338","What contributes to the re-positive nucleic acid test results for the omicron variant of SARS-CoV-2 in the shelter cabin hospital in Shanghai, China?","Peng M, Hu M, Peng X, Gong Y, Qian K, Li J, Zhao J, Li X, Huang J, Zhang M, Chai L, Chen L, Zhang D, Peng L.","Heliyon. 2023 May;9(5):e15679. doi: 10.1016/j.heliyon.2023.e15679. Epub 2023 Apr 24.","Peng M","Heliyon","2023","2023/05/01","PMC10123020","","10.1016/j.heliyon.2023.e15679"
"37114968","Changes in all-cause and cause-specific excess mortality before and after the Omicron outbreak of COVID-19 in Hong Kong","Chong KC, Chan PK, Hung CT, Wong CK, Xiong X, Wei Y, Zhao S, Guo Z, Wang H, Yam CH, Chow TY, Li C, Jiang X, Leung SY, Kwok KL, Yeoh EK, Li K.","J Glob Health. 2023 Apr 28;13:06017. doi: 10.7189/jogh.13.06017.","Chong KC","J Glob Health","2023","2023/04/28","PMC10143112","","10.7189/jogh.13.06017"
"37092817","The Environmental Stability of SARS-CoV-2 Variants Omicron BA.1 and BA.5 on the Surfaces of Widely Used Transport Packaging Materials","Wang B, Chen L, Sui H, Dong X, Huang H, Wang X, Xiao Y, Xiao X, Wu C, Gao H, Shu Y, Ren L, Wang J.","Microbiol Spectr. 2023 Jun 15;11(3):e0488122. doi: 10.1128/spectrum.04881-22. Epub 2023 Apr 10.","Wang B","Microbiol Spectr","2023","2023/04/24","PMC10269784","","10.1128/spectrum.04881-22"
"37089777","Surveillance of Severe Acute Respiratory Syndrome Coronavirus 2 and Variants Using Digital Droplet Polymerase Chain Reaction at a Large University and Healthcare System in California","Stafylis C, Pernet O, Hernandez-Tamayo C, Kovacs A, Emerson J, Ward PM, Van Orman S, Gilliland F, Conti D, Weisenhaus M, Ghanem-Uzqueda A, Yepez D, Stellar S, Tadanki AP, Max J, Fottrell H, Ong E, Navarro S, Moses K, Akaolisa M, Hosseini B, Sunesara S, Wang Y, Strum E, Casagrande Y, Arenas N, Williams C, Thomas P, Chu T, Hu H, Klausner JD.","Open Forum Infect Dis. 2023 Mar 18;10(4):ofad147. doi: 10.1093/ofid/ofad147. eCollection 2023 Apr.","Stafylis C","Open Forum Infect Dis","2023","2023/04/24","PMC10117372","","10.1093/ofid/ofad147"
"37084751","SARS-CoV-2 incubation period across variants of concern, individual factors, and circumstances of infection in France: a case series analysis from the ComCor study","Galmiche S, Cortier T, Charmet T, Schaeffer L, Chény O, von Platen C, Lévy A, Martin S, Omar F, David C, Mailles A, Carrat F, Cauchemez S, Fontanet A.","Lancet Microbe. 2023 Jun;4(6):e409-e417. doi: 10.1016/S2666-5247(23)00005-8. Epub 2023 Apr 18.","Galmiche S","Lancet Microbe","2023","2023/04/21","PMC10112864","","10.1016/S2666-5247(23)00005-8"
